trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-113.49033983739565,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-44.46367366842742,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-142.93395298060048,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-101.7345066473499,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,9,-60.8519540798853,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,14,9.739858911008877,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-230.60042898750578,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-74.85264562191873,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,9.829962557572435,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-24.501460086173328,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,12,-21.928585847704607,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,15,5.284904439596843,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-86.42687525501421,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-15.0604651021689,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,20,10.052186708471488,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,4,26.710408221793493,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,3,21.03033472794228,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,20,8.307581525717683,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,14,22.62661295675648,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,15.608794027724581,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,15,36.66855850525104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,13.781701307481658,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,-5.4033617255653885,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,20,20.53928113631768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,23.089844107485497,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,15,-9.85184975125604,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,18,31.54237448350728,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,19.188919731689232,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,19,10.971270477744525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,17,25.697045922096713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
