trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",25,0,-107.10866034395987,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.001, 'e': 1.0}",20,0,-110.2273489998642,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 1.0}",20,0,-121.07434919373283,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.001, 'e': 1.0}",20,10,-72.36377386234666,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.001, 'e': 1.0}",20,0,-77.23687909907846,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.001, 'e': 1.0}",20,10,-48.07654961822023,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.001, 'e': 1.0}",25,0,-175.4625762153356,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.001, 'e': 1.0}",35,0,-117.61010938334972,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.001, 'e': 1.0}",20,0,-201.63103483608364,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.001, 'e': 1.0}",20,0,-151.7141872057891,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.001, 'e': 1.0}",35,0,-82.1488021289088,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.001, 'e': 1.0}",25,0,-56.57670847385709,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.001, 'e': 1.0}",25,0,-129.58845815191114,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.001, 'e': 1.0}",20,0,-138.19814325552585,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.001, 'e': 1.0}",20,0,-187.32271856493497,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.001, 'e': 1.0}",20,0,-123.93026400396974,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
17,False,"{'a': 0.001, 'e': 1.0}",25,0,-70.11601730556418,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.001, 'e': 1.0}",30,0,-201.46248468244596,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
19,False,"{'a': 0.001, 'e': 1.0}",20,0,-95.9220884184734,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.001, 'e': 1.0}",25,0,-222.88758951515914,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
21,False,"{'a': 0.001, 'e': 1.0}",20,0,-148.44790033657995,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.001, 'e': 1.0}",20,4,-21.300557713622272,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.001, 'e': 1.0}",20,0,-127.50924768367503,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.001, 'e': 1.0}",30,0,-98.60051930630289,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.001, 'e': 1.0}",20,0,-106.8657335374725,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.001, 'e': 1.0}",20,0,-187.94874547859254,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
