trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,5,-46.914641017561806,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,5,-91.49700772456161,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.17395297355878,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.5739497641986064,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.76698031975099,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-248.14170874452614,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.31906223851958,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.73474770495972,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.88923133606008,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-291.8534937694144,"{0: 13, 1: 0, 2: 11, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.455386956915554,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.181710395276404,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.47465462959788,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,14,-1.3481418825912934,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.6425540567657,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.14237453281584,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.822470566894054,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,4,-70.91727896987425,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.72704200584045,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-196.37776649731003,"{0: 20, 1: 5, 2: 7, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,0,-141.62464654475232,"{0: 19, 1: 3, 2: 3, 3: 4, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-103.635033775408,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-77.82129451626035,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,12,-16.875293834369394,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,11,-29.707206614948316,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-114.2244663090109,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-12.427345634163684,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-119.44971350720988,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-80.85728309527698,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-87.28423652920189,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
